Municipios;Distritos;Secciones;Indicadores_gini_p8020;Periodo;Total
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Indice de Gini;2016;32,5
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Indice de Gini;2015;32,5
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2023;3
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2022;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2021;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2020;2,7
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2019;2,5
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2018;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2017;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2016;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905059 Madrid seccion 05059;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2023;33,6
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2022;34,8
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2021;35,1
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2020;34,4
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2019;34,3
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2018;34,4
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2017;36,6
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2016;35
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Indice de Gini;2015;37,6
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2023;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2022;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2021;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2020;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2019;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2018;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2017;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2016;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905060 Madrid seccion 05060;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2023;34,8
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2022;33,6
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2021;36,3
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2020;36,7
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2019;36
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2018;35,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2017;35,3
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2016;36,7
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Indice de Gini;2015;37,6
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2023;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2022;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2021;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2020;3
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2019;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2018;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2017;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2016;3
28079 Madrid;2807905 Madrid distrito 05;2807905061 Madrid seccion 05061;Distribucion de la renta P80/P20;2015;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2023;37,6
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2022;35,6
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2021;36,8
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2020;35,7
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2019;36,8
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2018;34,9
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2017;38,5
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2016;37,2
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Indice de Gini;2015;37,1
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2023;3
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2022;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2021;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2020;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2019;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2018;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2017;3
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2016;3
28079 Madrid;2807905 Madrid distrito 05;2807905062 Madrid seccion 05062;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2023;36,3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2022;35,4
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2021;38,2
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2020;36,3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2019;35,5
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2018;35,3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2017;39,1
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2016;37,4
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Indice de Gini;2015;36,1
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2023;2,7
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2022;2,5
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2021;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2020;3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2019;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2018;3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2017;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2016;3
28079 Madrid;2807905 Madrid distrito 05;2807905063 Madrid seccion 05063;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2023;44,2
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2022;44,2
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2021;43,3
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2020;44,4
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2019;45,2
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2018;45,6
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2017;45,2
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2016;46,4
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Indice de Gini;2015;44,5
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2023;3,7
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2022;3,7
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2021;3,5
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2020;3,7
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2019;4,2
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2018;4,3
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2017;3,9
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2016;4
28079 Madrid;2807905 Madrid distrito 05;2807905064 Madrid seccion 05064;Distribucion de la renta P80/P20;2015;3,8
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2023;32,1
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2022;34
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2021;34,1
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2020;35,4
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2019;34,9
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2018;34,1
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2017;32,9
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2016;34,4
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Indice de Gini;2015;35,4
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2023;2,7
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2022;2,8
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2021;2,6
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2020;2,7
